"ecosystem","sample","sample_fraction","fraction","sampleID","isotope.treatment","iso.treat.eco","Density.g.ml","avg_16S_copies","dna_ng_ul","uL_added","dry_soil_wt_g"
"GL",9,"9_14",14,"W1_GL_9","13C","13C.GL",1.6890976,103061.5016,18.1,30,0.254856600104765
"GL",9,"9_15",15,"W1_GL_9","13C","13C.GL",1.6848864,323467.6748,18.1,30,0.254856600104765
"GL",9,"9_16",16,"W1_GL_9","13C","13C.GL",1.681728,232647.5602,18.1,30,0.254856600104765
"GL",9,"9_17",17,"W1_GL_9","13C","13C.GL",1.6775168,288915.517,18.1,30,0.254856600104765
"GL",9,"9_18",18,"W1_GL_9","13C","13C.GL",1.6743584,155344.9762,18.1,30,0.254856600104765
"GL",9,"9_19",19,"W1_GL_9","13C","13C.GL",1.6690944,55270.59057,18.1,30,0.254856600104765
"GL",9,"9_20",20,"W1_GL_9","13C","13C.GL",1.665,26014.36915,18.1,30,0.254856600104765
"GL",9,"9_21",21,"W1_GL_9","13C","13C.GL",1.661,2437.4998,18.1,30,0.254856600104765
"GL",9,"9_4",4,"W1_GL_9","13C","13C.GL",1.7301568,685.1416896,18.1,30,0.254856600104765
"GL",9,"9_6",6,"W1_GL_9","13C","13C.GL",1.7196288,6288.054123,18.1,30,0.254856600104765
"GL",9,"9_7",7,"W1_GL_9","13C","13C.GL",1.7154176,7545.392506,18.1,30,0.254856600104765
"GL",9,"9_8",8,"W1_GL_9","13C","13C.GL",1.7101536,15168.70025,18.1,30,0.254856600104765
"GL",9,"9_9",9,"W1_GL_9","13C","13C.GL",1.7059424,36297.23444,18.1,30,0.254856600104765
"GL",10,"10_10",10,"W1_GL_10","12C_N","12C_N.GL",1.708048,5682.306876,5.93,NA,0.259903265453374
"GL",10,"10_11",11,"W1_GL_10","12C_N","12C_N.GL",1.702784,15366.19735,5.93,NA,0.259903265453374
"GL",10,"10_12",12,"W1_GL_10","12C_N","12C_N.GL",1.69752,162729.535,5.93,NA,0.259903265453374
"GL",10,"10_13",13,"W1_GL_10","12C_N","12C_N.GL",1.6933088,14280.27047,5.93,NA,0.259903265453374
"GL",10,"10_14",14,"W1_GL_10","12C_N","12C_N.GL",1.6890976,28602.46832,5.93,NA,0.259903265453374
"GL",10,"10_15",15,"W1_GL_10","12C_N","12C_N.GL",1.6838336,27516.91891,5.93,NA,0.259903265453374
"GL",10,"10_16",16,"W1_GL_10","12C_N","12C_N.GL",1.6783,1217.185813,5.93,NA,0.259903265453374
"GL",10,"10_17",17,"W1_GL_10","12C_N","12C_N.GL",1.6732,30747.58608,5.93,NA,0.259903265453374
"GL",10,"10_5",5,"W1_GL_10","12C_N","12C_N.GL",1.7333152,587.384237,5.93,NA,0.259903265453374
"GL",10,"10_6",6,"W1_GL_10","12C_N","12C_N.GL",1.7280512,666.2119319,5.93,NA,0.259903265453374
"GL",10,"10_7",7,"W1_GL_10","12C_N","12C_N.GL",1.72384,964.1577725,5.93,NA,0.259903265453374
"GL",10,"10_8",8,"W1_GL_10","12C_N","12C_N.GL",1.718576,3643.929384,5.93,NA,0.259903265453374
"GL",10,"10_9",9,"W1_GL_10","12C_N","12C_N.GL",1.713312,1958.658408,5.93,NA,0.259903265453374
"GL",11,"11_10",10,"W1_GL_11","12C_N","12C_N.GL",1.6985728,24077.70564,20.1,NA,0.273361039716332
"GL",11,"11_11",11,"W1_GL_11","12C_N","12C_N.GL",1.6933088,101389.4536,20.1,NA,0.273361039716332
"GL",11,"11_12",12,"W1_GL_11","12C_N","12C_N.GL",1.6880448,392555.1014,20.1,NA,0.273361039716332
